line,bus_id,time,round_time,duration,status
125,21032199,2022-06-01 14:17:08,2022-06-01 14:17:00,4076,other
125,21032199,2022-06-01 15:25:04,2022-06-01 15:25:00,130,d
125,21032199,2022-06-01 15:27:14,2022-06-01 15:27:00,5339,other
125,21032199,2022-06-01 16:56:13,2022-06-01 16:56:00,4062,o
125,21032199,2022-06-01 18:03:55,2022-06-01 18:04:00,5351,other
125,21032199,2022-06-01 19:33:06,2022-06-01 19:33:00,262,d
125,21032199,2022-06-01 19:37:28,2022-06-01 19:37:00,4381,other
125,21032199,2022-06-01 20:50:29,2022-06-01 20:50:00,2660,o
125,21032201,2022-06-01 07:07:24,2022-06-01 07:07:00,6756,o
125,21032201,2022-06-01 09:00:00,2022-06-01 09:00:00,401,d
125,21032201,2022-06-01 09:06:41,2022-06-01 09:07:00,4470,other
125,21032201,2022-06-01 10:21:11,2022-06-01 10:21:00,3798,o
125,21032201,2022-06-01 11:24:29,2022-06-01 11:24:00,3617,other
125,21032201,2022-06-01 12:24:46,2022-06-01 12:25:00,572,d
125,21032201,2022-06-01 12:34:18,2022-06-01 12:34:00,4008,other
125,21032201,2022-06-01 13:41:06,2022-06-01 13:41:00,6771,o
125,21032201,2022-06-01 15:33:57,2022-06-01 15:34:00,3964,other
125,21032201,2022-06-01 16:40:01,2022-06-01 16:40:00,1283,d
125,21032201,2022-06-01 17:01:24,2022-06-01 17:01:00,5403,other
125,21032226,2022-06-01 07:06:53,2022-06-01 07:07:00,1766,o
125,21032226,2022-06-01 07:36:19,2022-06-01 07:36:00,4372,other
125,21032226,2022-06-01 08:49:11,2022-06-01 08:49:00,503,d
125,21032226,2022-06-01 08:57:34,2022-06-01 08:58:00,4210,other
125,21032226,2022-06-01 10:07:44,2022-06-01 10:08:00,3010,o
125,21032226,2022-06-01 10:57:54,2022-06-01 10:58:00,3615,other
125,21032226,2022-06-01 11:58:09,2022-06-01 11:58:00,721,d
125,21032226,2022-06-01 12:10:10,2022-06-01 12:10:00,3875,other
125,21032226,2022-06-01 13:14:45,2022-06-01 13:15:00,6599,o
125,21032226,2022-06-01 15:04:44,2022-06-01 15:05:00,3763,other
125,21032226,2022-06-01 16:07:27,2022-06-01 16:07:00,1103,d
125,21032226,2022-06-01 16:25:50,2022-06-01 16:26:00,4324,other
125,21032226,2022-06-01 17:37:54,2022-06-01 17:38:00,3364,o
125,21032226,2022-06-01 18:33:58,2022-06-01 18:34:00,3821,other
125,21032226,2022-06-01 19:37:39,2022-06-01 19:38:00,2387,d
125,21032226,2022-06-01 20:17:26,2022-06-01 20:17:00,3914,other
125,21032329,2022-06-01 07:30:02,2022-06-01 07:30:00,1770,o
125,21032329,2022-06-01 07:59:32,2022-06-01 08:00:00,5762,other
